employee_id,first_name,last_name,department_id,department_name,manager_employee_id,employee_role,salary,hire_date,terminated_date,terminated_reason,dob,fte,location
1377208,Tushar,NIYOGI,54013,Medical Telecommunicators,-,Med Telecomm Coordinator,9893,3/26/2001,01-01-1700,,2/20/1958,1,Pokhara
1672200,Kabir,Jamarkattel,31288,HMOB GI Procedure,5014147,Clinical Nurse-II,7184,9/8/2009,01-01-1700,,3/18/1963,0.8,Kathmandu
1977006,Balgovind,Baidhya,51100,NFS Retail Services,-,Food Services Mgr I,11885,5/21/2007,01-01-1700,,7/13/1982,1,Hetauda
3974506,Shambhu,Bhattacharya,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,11331,8/15/2016,01-01-1700,,3/14/1990,1,Pokhara
4019778,Jitendra,Tripathee,51100,NFS Retail Services,1977006,Food Services Supv,7435,1/6/2013,01-01-1700,,10/10/1990,1,Pokhara
4024378,Kundan,Dangi,18048,Patient Equipment Service,5001188,Stock Clerk,6248,9/6/2011,01-01-1700,,4/22/1964,1,Pokhara
5001188,Praveen,Bastola,55050,CD Operations,-,Supply Chain Services Supv,6965,7/23/2012,01-01-1700,,2/11/1974,1,Kathmandu
5001252,Aadesh,Raut,51120,NFS NCCH - Starbucks,1977006,Commercial Cashier,3593,8/6/2012,01-01-1700,,10/3/1988,0.5,Hetauda
5005963,Kripal,Adhikari,11151,4 Oncology,-,Patient Services Mgr III,6456,10/13/2014,01-01-1700,,2/28/1980,1,Hetauda
5009770,Swayambhu,Tamarkar,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,2997,5/9/2016,01-01-1700,,8/13/1975,1,Kathmandu
5010823,Muni,Bhujel,11151,4 Oncology,5005963,Clinical Nurse-II,10741,9/26/2016,01-01-1700,,3/15/1985,0.9,Hetauda
5010831,HIMAL,Baruwal,11151,4 Oncology,5005963,Clinical Nurse-II,5872,9/26/2016,01-01-1700,,6/7/1992,0.9,Hetauda
5010836,Purnima,Hamal,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,8812,9/26/2016,01-01-1700,,11/24/1972,1,Kathmandu
5011015,Nanda,Rajkarnikar,51120,NFS NCCH - Starbucks,1977006,Commercial Cashier,5960,10/24/2016,01-01-1700,,5/17/1991,1,Kathmandu
5011018,Rani,NEOPANE,51120,NFS NCCH - Starbucks,1977006,Food Services Associate,5601,10/24/2016,01-01-1700,,12/12/1983,1,Kathmandu
5011060,Sudha,Kansakar,11151,4 Oncology,5005963,Clinical Suppt Tech I,4565,11/7/2016,01-01-1700,,6/6/1973,0.9,Kathmandu
5011105,Anushka,Manandhar,31288,HMOB GI Procedure,5014147,Clinical Nurse-II,10374,11/7/2016,01-01-1700,,6/10/1971,1,Hetauda
5011110,Lochan,Maske,31288,HMOB GI Procedure,5014147,Endoscopy Technician,9809,11/7/2016,01-01-1700,,10/30/1992,1,Kathmandu
5011147,Amiri,Gyawali,18048,Patient Equipment Service,5001188,Stock Clerk,10905,11/21/2016,3/15/2020,Contract Expired,3/2/1977,1,Kathmandu
5011401,Mahadevi,Khetan,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,4570,8/13/2017,01-01-1700,,9/25/1982,1,Hetauda
5011499,Peenkee,Ranjan,11151,4 Oncology,5005963,Clinical Suppt Tech II,3977,1/30/2017,01-01-1700,,10/14/1955,0.9,Kathmandu
5011633,Himani,Pokhrel,31285,HMOB GI Clinic,5014147,Licensed Practical Nurse,2793,2/27/2017,01-01-1700,,8/15/1967,1,Pokhara
5012159,SARUPA,Dolma,53410,Linen Room & Laundry,5001188,Stock Clerk,11158,8/13/2017,01-01-1700,,11/28/1992,1,Kathmandu
5012163,Ameeri,Manandhar,51120,NFS NCCH - Starbucks,1977006,Commercial Cashier,9937,4/24/2017,01-01-1700,,8/31/1983,1,Pokhara
5012165,Ameeta,Barakoti,31288,HMOB GI Procedure,5014147,Clinical Nurse-II,9940,4/24/2017,01-01-1700,,10/27/1961,0.6,Hetauda
5012319,Sukriti,Chataut,11151,4 Oncology,5005963,Clinical Nurse-III,10238,5/8/2017,01-01-1700,,5/16/1964,0.9,Pokhara
5012329,Maya,Yadav,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,12138,8/13/2017,01-01-1700,,1/25/1994,1,Kathmandu
5014147,Rani,Karkee,31288,HMOB GI Procedure,-,Patient Services Mgr III,11190,1/29/2018,01-01-1700,,7/16/1956,1,Hetauda
507800,Himal,Banjade,18048,Patient Equipment Service,5001188,Stock Clerk,8903,9/11/1995,8/26/2005,Medical Urgency,9/7/1961,1,Pokhara
986301,Mayur,Rumba,18048,Patient Equipment Service,5001188,Stock Clerk,9320,9/21/1998,01-01-1700,,8/10/1968,1,Pokhara
